feature,Decision Tree,Random Forest
hour,0.001258863003584605,0.0003933174600480334
minute,1.67117287340978e-05,6.981884131640436e-05
day_of_week,2.0733091755068214e-05,2.1311071330036302e-05
day_of_month,3.219096738990234e-05,8.233352117755132e-05
month,0.00010023960967532977,9.087376515497675e-05
is_weekend,0.0,7.68937961090931e-06
is_daylight,0.0,9.020686816073677e-09
hour_sin,0.00021166511043145,0.0004762852727184631
hour_cos,1.0020889047029572e-06,9.453761786217582e-05
dow_sin,0.0,2.861648201103884e-05
dow_cos,0.0,2.0389855403931384e-05
voltage_ll_avg,3.961618332225624e-05,0.00020141691445409545
current_avg,0.0,3.793922578279323e-05
power_factor,4.2739413309317264e-05,0.00013975600825927287
active_power_kw,2.441625256873919e-05,2.9137705927248005e-05
apparent_power_kva,3.298612347746591e-06,3.973607183459008e-05
reactive_power_kvar,9.904542521817058e-05,0.00010963230567685421
voltage_deviation,0.00017422372503214556,0.00023608522725546857
apparent_vs_active_ratio,0.00046726350387025394,0.00015781256547052358
reactive_power_ratio,0.00019207323089808824,0.00010415611939948303
solar_active_power_kw,0.8604019471678326,0.5253204018793636
solar_current_avg,0.10351917989611162,0.3192906439363275
solar_power_factor,0.00012983167692212476,0.0005151268912244808
solar_contribution_ratio,0.000201372189432029,7.831593590538314e-05
net_grid_power,0.0005581281338102558,0.0032682774351841994
energy_lag_1,0.01334487378920105,0.11667466132431747
energy_lag_4,0.0003607803981324328,0.0021893088735707084
energy_lag_96,0.00026269126768675434,0.000758128463926332
power_lag_1,7.477075631746078e-05,4.222979725498742e-05
power_lag_4,0.00011156621118868839,0.00012497462945223963
voltage_lag_1,1.619990051570968e-05,0.00024324389589115925
energy_roll_mean_4,0.012965688549199671,0.025570655173658946
energy_roll_std_4,0.005164717429031816,0.002942529536111558
energy_roll_mean_24,0.0001380226608965836,0.00048289108915456047
power_roll_mean_4,1.2861828309176834e-05,5.6181009359175676e-05
power_roll_std_4,5.328619837025651e-05,0.00010157569791692391
